NQR QUALIFICATIONS SUMMARY SHEET,,,,Downloaded on: 17-09-2026 06:36:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
S No.,Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,,
22,Direct Marketing Agent - Piped Natural Gas (PNG),2021/HYC/HSSCI/04664,"The Direct marketing Agent - Piped Natural Gas (PNG) identify and register the new consumers by undertaking promotional and marketing activities in allocated area, for supply of natural gas as fuel to domestic households, industries and commercial establishments through Piped Natural Gas (PNG) connections.",Hydrocarbon,Level 4,420 Hours,420 Hours,Version ,17 Nov 2022,16 Nov 2025,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,Sales and Services,Marketing Supervisor-PNG,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",,
23,Project Supervisor - City Gas Distribution (CGD),2021/HYC/HSSCI/04662,"The individual in this position is responsible for supervision of project activities pertaining to all processes involved in CGD pipelines installation, in a stipulated time. The person is responsible for maintaining labour log, safe and secure healthy environment at the project site by adhering to and enforcing safety codes",Hydrocarbon,Level 5,570 Hours,570 Hours,Version ,17 Nov 2022,16 Nov 2025,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,Operations - Oil and Gas pipeline,Foreman,General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""300"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""60""}",,
24,Store Keeper (Petroleum Products),2021/HYC/HSSCI/04665,"The individual in this position is responsible for store keeping of petroleum and its allied products. The
person veriﬁes and receives the material as per Purchase Order / Delivery Challan, issues material as per indent/requisition, coordinates scrap disposal, checks inventory and quality of goods and aintains all ﬁling system and records as necessary for material traceability and control.",Hydrocarbon,Level 3,330 Hours,330 Hours,Version ,17 Nov 2022,16 Nov 2025,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,Store Operations,Store Supervisor,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",,
25,Solar PV Installer-Civil-PwD LD,2021/PWD/SCPWD/04886,"Solar PV Installer - Civil installs different civil and mechanical components of photovoltaic systems that meet the performance and reliability needs of customers by incorporating quality craftsmanship and complying with all applicable codes, standards,
and safety requirements.",Persons with Disability,Level 4,170 Hours,170 Hours,Version ,30 Dec 2021,27 May 2023,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability (SCPwD),"Civil Engineering Technicians, Other",Vertical Progression: Solar PV O&M Engineer (Level 5),General Qualification,N.A.,"{""Theory"":""68"",""Practical"":""102"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
26,Solar PV Installer-Civil-PwD SHI,2021/PWD/SCPWD/04887,"Solar PV Installer - Civil installs different civil and mechanical components of photovoltaic systems that meet the performance and reliability needs of customers by incorporating quality craftsmanship and complying with all applicable codes, standards,
and safety requirements.",Persons with Disability,Level 4,260 Hours,260 Hours,Version ,30 Dec 2021,27 May 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability (SCPwD),"Civil Engineering Technicians, Other",Vertical Progression: Solar PV O&M Engineer (Level 5),General Qualification,Green Jobs,"{""Theory"":""124"",""Practical"":""136"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
27,Solar PV Installer-Electrical-PwD SHI,2021/PWD/SCPWD/04885,"Solar PV Installer – Electrical; installs, tests and commissions different electrical components of photovoltaic systems, that meet the performance and reliability needs of customers. The work is performed by incorporating quality craftsmanship while complying with all applicable codes, standards and safety
requirements.",Persons with Disability,Level 4,310 Hours,310 Hours,Version ,30 Dec 2021,27 May 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability (SCPwD),Solar Panel Installation Technician,Vertical Progression: Solar PV O&M Engineer (Level 5),General Qualification,Green Jobs,"{""Theory"":""139"",""Practical"":""171"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
28,Solar PV Installer-Electrical-PwD LD,2021/PWD/SCPWD/04884,"Solar PV Installer – Electrical; installs, tests and commissions different electrical components of photovoltaic systems, that meet the performance and reliability needs of customers. The work is performed by incorporating quality craftsmanship while complying with all applicable codes, standards and safety
requirements.",Persons with Disability,Level 4,220 Hours,220 Hours,Version ,30 Dec 2021,27 May 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability (SCPwD),Solar Panel Installation Technician,Vertical Progression: Solar PV O&M Engineer (Level 5),General Qualification,Green Jobs,"{""Theory"":""83"",""Practical"":""137"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
29,Solar PV Installer (Suryamitra)-PwD SHI,2021/PWD/SCPWD/04883,"Solar PV Installer checks, adapts, implements, configures, installs, inspects, tests, and commissions different components of photovoltaic systems, that meet the performance and reliability needs of customers by incorporating quality craftsmanship and complying with all applicable codes,
standards, and safety requirements.",Persons with Disability,Level 4,390 Hours,390 Hours,Version ,30 Dec 2021,27 May 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability (SCPwD),Solar Panel Installation Technician,Vertical Progression: Solar PV O&M Engineer (Level 5),General Qualification,Green Jobs,"{""Theory"":""172"",""Practical"":""218"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
30,Field Technician Computing And Peripherals,2021/EHW/ESSC/04794,"A Field Technician -- Computing & Peripherals is responsible for visiting customer premises to install and carry out repair and maintenance of a desktop computer. The individual carries out installation and troubleshooting of computer peripherals also. The individual may also carry out installation, repair and maintenance of a laptop and relevant peripherals",Electronics & HW,Level 4,510 Hours,510 Hours,Version ,30 Dec 2021,30 Dec 2026,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Service,Service Engineer – IT Hardware,Multi-Skill Qualification,N.A.,"{""Theory"":""126"",""Practical"":""174"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
31,Wiring Harness Assembly Operator,2021/EHW/ESSC/04792,"The Wiring Harness Assembly Operator is responsible for making a wire harness assembly by cutting, stripping and crimping wires and then soldering, connecting, taping and labeling them on a laying board as per the design specifications. This is followed by testing the components of the assembly.",Electronics & HW,Level 3,390 Hours,390 Hours,Version ,30 Dec 2021,27 Jan 2027,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Production-EMS,Assistant Supervisor - Production,"Heritage/Traditional Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""120"",""Practical"":""150"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""90""}",,
